	loc_name	address	dates	scores	reviews
0	스타벅스 국립대구박물관DT점	황금동 69-3 64-5	2020-04-09 18:22:58.723404288	4.74468085106383	45
1	스타벅스 대구영대병원역DT점	봉덕동 595-7	2020-04-08 01:06:58.604651264	4.744186046511628	78
2	스타벅스 경주터미널DT점	사정동 488-7 8	2020-01-14 13:14:28.965517312	4.741379310344827	220
3	스타벅스 대구수성네거리DT점	수성동4가 1021-8	2019-11-26 12:05:10.791366912	4.733812949640288	128
4	스타벅스 광주매곡DT점	매곡동 15	2019-11-06 12:13:20.000000000	4.724537037037037	204
5	스타벅스 목포터미널DT점	상동 135	2020-03-04 10:20:00.000000000	4.722222222222222	64
6	스타벅스 아산방축DT점	방축동 124-5	2020-05-10 17:01:23.720930304	4.72093023255814	76
7	스타벅스 울산MBC DT점	복산동 40-6	2020-01-14 08:16:50.526315776	4.713450292397661	167
8	스타벅스 포항쌍용DT점	상도동 601	2019-12-08 17:45:05.325443840	4.710059171597633	162
9	스타벅스 광주주월DT점	주월동 960-13	2020-03-25 18:00:00.000000000	4.700892857142857	105
10	스타벅스 청주사직DT점	충북 청주시 서원구 사직동 126-14	2020-02-05 19:40:27.906976768	4.700581395348837	167
11	스타벅스 광주지산DT점	동명동 12-3	2020-03-28 06:11:36.774193664	4.693548387096774	86
12	스타벅스 광주신안DT점	신안동 333	2020-02-14 00:15:14.285714176	4.6878306878306875	178
13	스타벅스 여수학동DT점	학동 67-6 18, 19	2020-06-07 11:04:36.923076864	4.6826923076923075	50
14	스타벅스 대전신탄진DT점	석봉동 309-10	2019-12-20 22:00:00.000000000	4.681818181818182	126
15	스타벅스 수원권선DT점	오목천동 321-20	2019-12-19 21:53:28.368200960	4.679916317991632	202
16	스타벅스 대구칠곡대로DT점	태전동 1049-2	2020-01-26 02:32:11.707316992	4.678861788617886	113
17	스타벅스 고양DT점	고양동 568	2020-02-15 18:02:37.664233472	4.678832116788321	130
18	스타벅스 대구수성도서관DT점	만촌동 1329-17 1, 33, 34	2020-02-10 02:38:38.644067840	4.677966101694915	107
19	스타벅스 대구상인DT점	상인동 54-3 1~2층	2020-01-31 02:38:38.644067840	4.673728813559322	111
20	스타벅스 안성석정DT점	석정동 254-3	2020-01-27 13:15:25.714285824	4.671428571428572	98
21	스타벅스 용인상하DT점	경기 용인시 기흥구 상하동 249-2	2020-02-10 11:48:00.000000000	4.670833333333333	112
22	스타벅스 대구앞산DT점	대명동 493-38	2020-04-12 12:00:00.000000000	4.670454545454546	86
23	스타벅스 창원호계DT점	호계리 177-2	2020-02-11 10:05:13.043478272	4.670289855072464	124
24	스타벅스 대전터미널DT점	성남동 502-2	2020-03-21 03:05:48.387096832	4.669354838709677	57
25	스타벅스 광주월산DT점	월산동 963-3	2020-03-02 03:39:20.264900608	4.66887417218543	144
26	스타벅스 남양산IC DT점	석산리 966	2020-03-20 02:38:57.662337536	4.6688311688311686	143
27	스타벅스 온천장역DT점	장전동 607-6	2020-01-26 06:44:23.013698560	4.667808219178082	133
28	스타벅스 김포감정DT점	감정동 502-20	2020-02-10 02:25:27.272727296	4.666666666666667	182
29	스타벅스 울산남구청DT점	신정동 133-1	2020-02-04 04:27:41.538461440	4.666666666666667	147
30	스타벅스 광주금호DT점	쌍촌동 902-13	2019-12-10 01:41:56.814159360	4.663716814159292	106
31	스타벅스 신월IC DT점	신월동 205-49	2020-01-20 21:05:14.563106816	4.662621359223301	185
32	스타벅스 대구칠성DT점	칠성동2가 371-5	2020-02-12 23:02:46.887417344	4.662251655629139	141
33	스타벅스 제주외도DT점	외도일동 401-1	2020-03-31 08:06:45.633802752	4.661971830985915	68
34	스타벅스 의정부신곡DT점	경기 의정부시 신곡동 263-17	2020-02-01 22:19:53.582887680	4.660427807486631	181
35	스타벅스 경인교대입구역DT점	작전동 852-30 852-31	2020-04-16 18:02:37.664233472	4.656934306569343	128
36	스타벅스 의정부녹양DT점	가능동 93-1 92-2 (2필지)	2020-01-13 08:36:00.000000000	4.654166666666667	113
37	스타벅스 인천당하DT점	당하동 1092-7	2020-01-22 04:54:15.652173824	4.6521739130434785	217
38	스타벅스 군산나운DT점	나운동 843-6	2020-04-05 19:40:48.000000000	4.65	96
39	스타벅스 부천중동DT점	중동 628-14	2020-01-09 02:22:13.333333248	4.648148148148148	157
40	스타벅스 대구감삼DT점	감삼동 490-1	2020-01-16 02:30:00.000000000	4.643229166666667	186
41	스타벅스 대구성서IC DT점	용산동 410-9 12	2020-02-06 08:50:00.000000000	4.642361111111111	138
42	스타벅스 청주용암DT점	용암동 1693 행복을 만드는집	2020-03-16 23:33:00.000000000	4.640625	154
43	스타벅스 대구황금DT점	지산동 941	2020-02-05 03:46:31.011235840	4.640449438202247	85
44	스타벅스 용인김량장DT점	김량장동 177-1	2020-03-13 08:03:34.925373184	4.638059701492537	118
45	스타벅스 원주반곡DT점	반곡동 1141	2020-03-11 11:19:45.093167616	4.636645962732919	151
46	스타벅스 일산애니골DT점	풍동 609	2020-02-05 13:35:39.860139776	4.636363636363637	139
47	스타벅스 금정남산동DT점	남산동 68-1 남산프라자	2020-04-13 18:00:00.000000000	4.636363636363637	84
48	스타벅스 경주보문로DT점	천군동 1584-33 외 1번지(신평동 719-220)	2020-01-14 18:44:40.291970816	4.635036496350365	128
49	스타벅스 세종다정DT점	다정동 639 오수중계펌프장	2020-02-27 10:07:30.000000000	4.6328125	175
50	스타벅스 제천DT점	중앙로2가 68-3 외4필지	2020-02-03 23:38:00.916030464	4.629770992366412	123
51	스타벅스 동해DT점	천곡동 1020	2020-02-09 05:23:43.255813888	4.627906976744186	121
52	스타벅스 광주화정DT점	화정동 769-1	2019-12-30 01:34:35.912408832	4.627737226277373	128
53	스타벅스 기장역DT점	청강리 31-1	2020-04-09 23:07:57.108433664	4.626506024096385	74
54	스타벅스 해운대달맞이DT점	중동 1779	2019-12-20 21:39:30.731707392	4.626016260162602	118
55	스타벅스 울산도산사거리DT점	울산 남구 야음동 580	2020-01-19 19:32:58.807947008	4.625827814569536	140
56	스타벅스 구미상모DT점	상모동 478-5 상모주유소	2020-02-18 10:31:50.204081664	4.625	190
57	스타벅스 안성공도DT점	마정리 147-8	2020-03-05 11:00:00.000000000	4.625	134
58	스타벅스 의정부용현DT점	경기 의정부시 용현동 189-3 4, 20, 21, 22(5필지)	2020-02-14 08:57:08.571428608	4.623015873015873	119
59	스타벅스 포항장성DT점	장성동 1577-8	2020-02-06 00:00:00.000000000	4.622580645161291	149
60	스타벅스 대구공평DT점	동인동2가 25-1 1~2층	2020-01-18 23:20:00.000000000	4.62037037037037	200
61	스타벅스 동대구로DT점	신천동 300-2	2020-01-13 14:31:06.666666752	4.62037037037037	156
