	mac_name	address	address2	score	link	num_review	reviews	scores	dates
10	스타벅스 의왕청계DT점	경기 의왕시 안양판교로 246	(지번) 청계동 829-4	5.0	https://place.map.kakao.com/1392413715#review	1	['백운호수 근처의 스타벅스 DT 예쁘고 멋진 매장']	['5']	['2020.01.22.']
11	스타벅스 송파나루역DT점	서울 송파구 오금로 142	(지번) 송파동 59-9	4.1	https://place.map.kakao.com/1130138697#review	13	['넓고 깔끔해서 좋아요', '스타벅스 중에서도 최악이에요. 기계소리 시끄러워서 주문안내하는 목소리도 너무 크고 사람들 목소리도 커집니다.  자리와 자리 사이가 가까워서 새 건물임에도 불구하고 너무 답답합니다. 다른 스타벅스는 콘센트도 자리마다 한개씩 있는데  여기는 두자리 사이에 하나 있어서 옆사람하고 눈치싸움 해야되네요. 스타벅스는 콘센트 장사 아닌가요..  게다가 직원이 불친절해요...', '시설은  오픈한 지 얼마 안 돼서 좋은데, 이상하게도 무선통신이 불편합니다. 연결이 자꾸 큲겨요.', '이곳은 다른 스타벅 하고는 차원이 다름 남녀직원들이  항상친절함 ', '직원분들께서 너무 친절하시고 내부도 넓어서 좋네요ㅎㅎ', '넓고 깔끔해서 좋아요', '스타벅스 중에서도 최악이에요. 기계소리 시끄러워서 주문안내하는 목소리도 너무 크고 사람들 목소리도 커집니다.  자리와 자리 사이가 가까워서 새 건물임에도 불구하고 너무 답답합니다. 다른 스타벅스는 콘센트도 자리마다 한개씩 있는데  여기는 두자리 사이에 하나 있어서 옆사람하고 눈치싸움 해야되네요. 스타벅스는 콘센트 장사 아닌가요..  게다가 직원이 불친절해요...', '시설은  오픈한 지 얼마 안 돼서 좋은데, 이상하게도 무선통신이 불편합니다. 연결이 자꾸 큲겨요.', '굿', '좋아요', '친절하셔서 좋습니다 DT이용 버벅댈때 친절히 응해주셔서 감사했습니다', '친절하고 깔끔합니당 음료도 맛있어욤', '좋아요']	['5', '1', '2', '5', '5', '5', '1', '2', '5', '5', '5', '5', '4']	['2020.05.17.', '2020.03.21.', '2020.03.06.', '2020.02.26.', '2020.02.13.', '2020.05.17.', '2020.03.21.', '2020.03.06.', '2019.12.04.', '2019.09.18.', '2019.06.11.', '2019.04.06.', '2019.04.06.']
12	스타벅스 일산풍동DT점	경기 고양시 일산동구 백마로 475	(지번) 풍동 879	3.7	https://place.map.kakao.com/1189347946#review	3	['최고예요', '커피가 맛이 없습니다. 기계나 원두점검이 필요합니다. 스타벅스 커피는 이렇게 맛이없지 않습니다. 문의를 드렸는데도 불구하고 맛이 개선되지 않습니다. 이런 커피는 돈을주고 사먹을 수가 없습니다. 점원분들은 정상적으로 레시피데로 만들어주시는듯 합니다. 다만 커피맛이 에스프레소 샷이라고하기에는 너무 연한맛이 납니다.', '직원분들 매우 친절하시고 매장 깔끔해서 좋습니다. 주차공간이 부족한 게 다소 아쉽지만 본사가 해결할 문제일 듯 하네요. 일산 시내에 있는 곳보다는 이곳을 찾게 됩니다. 지도가 업데이트 안 되어 나와있지는 않네요']	['5', '1', '5']	['2019.05.20.', '2019.01.01.', '']
13	스타벅스 강동구청DT점	서울 강동구 성내로 32	(지번) 성내동 550	4.0	https://place.map.kakao.com/1255094197#review	5	['좋아요', '동네에 스벅 있어서 좋음. 그리고 서비스 좋고 자리 많고 위생적임.', '오픈한지 얼마 되지 않은 매장이라 깔끔함', '위치애매함. 그닥 좋은 이미지를 못받음.', '굿']	['4', '5', '5', '1', '5']	['2020.06.03.', '2020.04.05.', '2020.02.26.', '2020.02.03.', '2019.09.18.']
14	스타벅스 부천심곡DT점	경기 부천시 부천로 97	(지번) 심곡동 110-5	4.5	https://place.map.kakao.com/2057095996#review	4	['커피 맛있어요 강추!!~~', '자허블 넘나맛있어용', '여기직원분들도 친절하시고 다른지점보다 맛도좋은것같아서 자주가요']	['5', '5', '5']	['2019.11.08.', '2019.10.30.', '2019.07.18.']
15	스타벅스 구의DT점	서울 광진구 광나루로 519	(지번) 구의동 67-36	4.4	https://place.map.kakao.com/26639935#review	10	['드라이브스루도 되고 직원분들 친절하고 좋습니다. ', '좌석이 너무 다닥다닥 붙어있고 바빠서인지 요구들이 빨리 들어지지 않지만 2층까지 있는게 좋다. 테라스는 추락 의험 때문에 막아두었던데 날씨가 좋으면 테라스 자리도 만들어주면 좋겠다. 이 지점의 최대 장점이 통유리창과 테라스이니 소파 쪽 좌석은 좀 줄이고 장점을 최대한 활용하셨으면. ', '무난해요', '최고예요', '최고예요', '드라이브스루도 되고 직원분들 친절하고 좋습니다. ', '좌석이 너무 다닥다닥 붙어있고 바빠서인지 요구들이 빨리 들어지지 않지만 2층까지 있는게 좋다. 테라스는 추락 의험 때문에 막아두었던데 날씨가 좋으면 테라스 자리도 만들어주면 좋겠다. 이 지점의 최대 장점이 통유리창과 테라스이니 소파 쪽 좌석은 좀 줄이고 장점을 최대한 활용하셨으면. ', '무난해요', '최고예요', '최고예요', '좋아요', '좋아요', '최고예요']	['5', '3', '3', '5', '5', '5', '3', '3', '5', '5', '4', '5']	['2020.06.06.', '2020.02.29.', '2020.01.27.', '2018.11.28.', '2018.10.31.', '2020.06.06.', '2020.02.29.', '2020.01.27.', '2018.02.10.', '2017.12.03.', '2017.07.10.', '']
16	스타벅스 송파방이DT점	서울 송파구 오금로 241	(지번) 방이동 226-10	3.2	https://place.map.kakao.com/1710997869#review	23	['드라이브쓰루는 괜찮은듯', '사람 너무 많네요ㅜ', '넓어서 좋다. 뜨거운 태양과 함께 뜨거워지고싶다면 2층 창 옆 추천', '보통이에요', '2층 천장이 높아 한결 여유롭다', '드라이브쓰루는 괜찮은듯', '사람 너무 많네요ㅜ', '방이역점에 비해 훨씬 최근에 생겼음에도 내부가 깔끔하게 관리되고 있는 느낌이 아니고 무엇보다 파트너들의 친절도나 에너지가 떨어집니다. 방이역점은 더 좁은 공간에 손님이 많아 번잡할 때가 있는데 그래도 친절함이 느껴지는 반면 이곳은 항상 뭔가 차가워요', '서비스. 태도.  별로', '좀 일찍 오픈 하길', '최고예요', '좋아요', '방이역점에 비해 훨씬 최근에 생겼음에도 내부가 깔끔하게 관리되고 있는 느낌이 아니고 무엇보다 파트너들의 친절도나 에너지가 떨어집니다. 방이역점은 더 좁은 공간에 손님이 많아 번잡할 때가 있는데 그래도 친절함이 느껴지는 반면 이곳은 항상 뭔가 차가워요', '최고예요']	['4', '2', '5', '3', '5', '4', '2', '3', '1', '3', '5', '4', '3', '5']	['2020.05.31.', '2020.04.21.', '2020.04.02.', '2019.08.07.', '2018.09.26.', '2020.05.31.', '2020.04.21.', '2018.09.24.', '2018.09.08.', '2018.04.14.', '2018.02.11.', '2017.12.19.', '']
17	스타벅스 안양호계DT	경기 안양시 동안구 엘에스로 27	(지번) 호계동 714-6	4.4	https://place.map.kakao.com/1699463111#review	11	['한번에 28잔이나 주문한 인간도 답 없지만 10분동안 주문 받으면서도 다음 주문부터는 15분 이후에나 받을 수 있다는 안내도 안 해줘서 주구장창 기다리게 하는 것도 답 없다 ', '오늘 기분 안좋은일이 있어서 커피와 케이크로 기분 좀 풀려고 드라이브 스루로 방문하였는데 남자 직원 분 정말 너무 친절하십니다 앞으로 행복한 일들만 가득하셨으면 좋겠습니다 아메리카노도 너무 맛있었습니다 감사합니다 ', 'DT진입로가 좁고 주차공간이 부족해서 불편함', '좋아요 ^^', '좋아요', '한번에 28잔이나 주문한 인간도 답 없지만 10분동안 주문 받으면서도 다음 주문부터는 15분 이후에나 받을 수 있다는 안내도 안 해줘서 주구장창 기다리게 하는 것도 답 없다 ', '오늘 기분 안좋은일이 있어서 커피와 케이크로 기분 좀 풀려고 드라이브 스루로 방문하였는데 남자 직원 분 정말 너무 친절하십니다 앞으로 행복한 일들만 가득하셨으면 좋겠습니다 아메리카노도 너무 맛있었습니다 감사합니다 ', '최고예요', '최고예요', '매장 넓고 편함', '매장 넓고 사람없고. 공부하거나 애기데리고 가기 딱좋음. 싸이렌오더로 주문하고 좀 늦게 도착하니 음료도 새로 만들어 주시고. 좋습니다.']	['1', '5', '3', '5', '4', '1', '5', '5', '5', '5', '5']	['2020.04.30.', '2020.03.19.', '2019.12.24.', '2019.07.28.', '2019.07.27.', '2020.04.30.', '2018.12.19.', '2018.09.22.', '2017.09.27.', '2017.07.08.']
18	스타벅스 부천중동DT점	경기 부천시 부흥로 193	(지번) 중동 628-14	3.4	https://place.map.kakao.com/27453872#review	9	['차가 많아서  그냥 지나가게된다', '차를 가지고 간다면 상당히 별로예요 .. 처음 가보았는데 주차공간이 너무 협소하고 그래서 차량주문을 했는데 시럽이 컵에 묻어있는 상태 그대로 주셨더라구요 .. 끈적거려서 매우 불쾌했네요 .. ', '최고예요', '평소에도 사람이 많지만 시험기간엔 미어터져요 ㅠ.ㅠ 전에 일요일 12시에 갔는데 3층에만 자리가 있던.. 3층에 테라스도 있어요. 커피는 무난무난', '정획도', '차가 많아서  그냥 지나가게된다', '차를 가지고 간다면 상당히 별로예요 .. 처음 가보았는데 주차공간이 너무 협소하고 그래서 차량주문을 했는데 시럽이 컵에 묻어있는 상태 그대로 주셨더라구요 .. 끈적거려서 매우 불쾌했네요 .. ', '최고예요', '조용하고 쾌적하다 특히 옥상이 굳~~~', '보통이에요']	['3', '1', '5', '4', '5', '3', '1', '4', '3']	['2020.06.14.', '2019.11.12.', '2019.05.04.', '2018.06.19.', '2017.09.28.', '2020.06.14.', '2019.11.12.', '2017.09.26.', '']
19	스타벅스 평촌역DT점	경기 안양시 동안구 시민대로 373	(지번) 관양동 902	4.0	https://place.map.kakao.com/2051389845#review	5	['최고예요', '최고예요', '차가 워낙 많아서 주차가 힘드네요. 주차장이 컸으면 좋겠어요. ', '사람이 많고 일처리가 느려요...', '주차 많이 되고, 넓고 좋네요. 도로에서 바로 들어가네요.']	['5', '5', '3', '2', '5']	['2020.05.29.', '2020.05.16.', '2020.04.25.', '2020.03.06.', '2020.01.19.']
