	mac_name	address	address2	score	latitude	longitude
51	맥도날드 용인수지DT점	경기 용인시 수지구 신수로 677	(지번) 풍덕천동 43-5	3.4	37.33029519999999	127.10214950000001
52	맥도날드 하남시청DT점	경기 하남시 대청로 25	(지번) 신장동 522-5	3.1	37.5409541	127.21496119999999
53	맥도날드 김포감정DT점	경기 김포시 중봉로 19	(지번) 감정동 506-2	2.5	37.6242991	126.69661140000001
54	맥도날드 수원정자DT점	경기 수원시 장안구 수성로 267	(지번) 정자동 76-18	1.8	37.2902776	127.00163590000001
55	맥도날드 북수원DT점	경기 수원시 장안구 경수대로 991	(지번) 송죽동 451-1	2.6	37.305151	127.0027332
56	맥도날드 동수원GS DT점	경기 수원시 영통구 창룡대로 370	(지번) 이의동 835	3.3	37.2948344	127.048353
57	맥도날드 김포장기DT점	경기 김포시 김포한강1로 77-40	(지번) 장기동 1911-2	3.1	37.6463436	126.6706281
58	맥도날드 수원화성DT점	경기 수원시 팔달구 경수대로 676	(지번) 우만동 490-4	3.4	37.2856388	127.0280422
59	맥도날드 인천옥련DT점	인천 연수구 비류대로 176	(지번) 옥련동 265-29	2.4	37.4265353	126.67113190000002
60	맥도날드 만가대DT점	경기 의정부시 민락로 11	(지번) 용현동 60-1	2.4	37.7405212	127.0915639
61	맥도날드 신흥DT점	인천 중구 인항로 38	(지번) 신흥동3가 7-227	1.7	37.456950899999995	126.63448500000001
62	맥도날드 용인마북DT점	경기 용인시 기흥구 용구대로 2420	(지번) 마북동 552-4	2.7	37.30220449999999	127.1066311
63	맥도날드 송도GS DT점	인천 연수구 하모니로 128	(지번) 송도동 8-18	2.2	37.37889379999999	126.6388452
64	맥도날드 수원인계DT점	경기 수원시 팔달구 권광로 261	(지번) 인계동 363-3	2.4	37.2706724	127.03494440000001
65	맥도날드 의정부녹양DT점	경기 의정부시 서부로 717	(지번) 가능동 106-1	3.2	37.7566812	127.0385572
66	맥도날드 수원GS DT점	경기 수원시 권선구 권선로 684	(지번) 권선동 1029	2.0	37.259021000000004	127.0259842
67	맥도날드 평내DT점	경기 남양주시 경춘로 1273	(지번) 평내동 246-21	2.9	37.648055600000006	127.235
68	맥도날드 의정부금오DT점	경기 의정부시 호국로 1604 1층	(지번) 금오동 99-6	2.9	37.74766760000001	127.0437846
69	맥도날드 수원세류DT점	경기 수원시 권선구 경수대로 195	(지번) 세류동 1155-8	3.5	37.2497021	127.0210158
70	맥도날드 용인신갈DT점	경기 용인시 기흥구 중부대로 266	(지번) 영덕동 40-2	2.0	37.274094500000004	127.04469809999999
71	맥도날드 수원망포DT	경기 수원시 영통구 덕영대로 1495	(지번) 망포동 21-13	3.0	37.2457653	127.0648322
72	맥도날드 용인동백DT점	경기 용인시 기흥구 어정로 106	(지번) 상하동 455-3	3.4	37.2736904	127.14217959999999
73	맥도날드 진접DT점	경기 남양주시 진접읍 금강로 1467	(지번) 진접읍 장현리 218	2.8	37.7295411	127.1940828
74	맥도날드 화성봉담DT점	경기 화성시 효행로 269	(지번) 기안동 357-5	2.5	37.2233131	126.9727189
75	맥도날드 병점DT점	경기 화성시 경기대로 1004	(지번) 병점동 372-1	2.7	37.2056607	127.0370605
76	맥도날드 마석DT점	경기 남양주시 화도읍 비룡로 89	(지번) 화도읍 마석우리 481-2	2.6	37.684958	127.2988697
77	맥도날드 용인시청DT점	경기 용인시 처인구 중부대로 1166	(지번) 삼가동 250-34	3.1	37.2386977	127.1744425
78	맥도날드 양주덕계DT점	경기 양주시 평화로 1511	(지번) 덕계동 495-8	2.3	37.8248034	127.050646
79	맥도날드 오산세교DT점	경기 오산시 경기대로 651	(지번) 내삼미동 466-1	2.5	37.1582143	127.06170259999999
80	맥도날드 포천DT점	경기 포천시 호국로 894	(지번) 설운동 13-7	2.5	37.8457796	127.1602347
81	맥도날드 오산DT점	경기 오산시 경기대로 170	(지번) 원동 372-5	2.3	37.139895	127.0738274
82	맥도날드 화성향남DT점	경기 화성시 향남읍 행정남로 120	(지번) 향남읍 방축리 297-75	4.0	37.1243932	126.9158213
83	맥도날드 동두천지행DT점	경기 동두천시 평화로 2290	(지번) 지행동 340-1	2.6	37.8921048	127.0573179
84	맥도날드 이천DT점	경기 이천시 경충대로 2578	(지번) 중리동 461-4	2.6	37.2751347	127.4466541
85	맥도날드 평택서정DT점	경기 평택시 경기대로 1395	(지번) 서정동 779-5	2.1	37.0696681	127.0639889
86	맥도날드 평택GS	경기 평택시 용이동 470-5		3.4	36.9963133	127.14273940000001
87	맥도날드 충남당진DT	충남 당진시 서해로 5754	(지번) 읍내동 423-2	3.4	36.8964825	126.62784199999999
88	맥도날드 춘천퇴계DT점	강원 춘천시 영서로 2173	(지번) 퇴계동 418-20	3.1	37.8592233	127.73116359999999
89	맥도날드 천안두정DT점	충남 천안시 서북구 동서대로 49	(지번) 두정동 627	2.1	36.825585700000005	127.1286955
90	맥도날드 천안원성DT점	충남 천안시 동남구 천안대로 699	(지번) 원성동 442-1	3.3	36.8108024	127.1642594
91	맥도날드 충남아산DT점	충남 아산시 충무로 37	(지번) 온천동 36-28	3.9	36.784659999999995	127.004922
92	맥도날드 춘천후평DT점	강원 춘천시 후석로 334	(지번) 후평동 702-5	2.4	37.880885600000006	127.7495263
93	맥도날드 천안쌍용역DT점	충남 천안시 서북구 충무로 166	(지번) 쌍용동 394-10	3.0	36.7935958	127.1259295
94	맥도날드 청주비하DT점	충북 청주시 흥덕구 2순환로 1076	(지번) 비하동 671-12	2.4	36.6386697	127.4221943
95	맥도날드 원주단계DT점	강원 원주시 서원대로 154	(지번) 단계동 879-1	3.0	37.3440951	127.92842209999999
96	맥도날드 청주율량GS DT점	충북 청주시 청원구 공항로 156	(지번) 율량동 769	3.3	36.67073990000001	127.4841969
97	맥도날드 원주단구DT점	강원 원주시 서원대로 426	(지번) 단구동 1026-16	2.3	37.3387209	127.93853109999999
98	맥도날드 청주분평DT점	충북 청주시 서원구 청남로 1991	(지번) 분평동 241-4	2.5	36.6144096	127.48425259999999
99	맥도날드 충주교현DT점	충북 충주시 국원대로 87	(지번) 교현동 624-1	1.7	36.9794071	127.92781380000001
100	맥도날드 서산DT점	충남 서산시 충의로 3	(지번) 예천동 524-26	2.5	36.7728042	126.4411341
101	맥도날드 충남홍성DT점	충남 홍성군 홍성읍 충서로 1528	(지번) 홍성읍 소향리 72-4	1.5	36.604643100000004	126.6613139
102	맥도날드 청주금천DT	충북 청주시 상당구 중고개로 281	(지번) 금천동 44-1	3.0	36.6277726	127.5081336
103	맥도날드 제천DT점	충북 제천시 의림대로 202	(지번) 청전동 165-5	3.0	37.1452734	128.214212
104	맥도날드 대전신탄진DT점	대전 대덕구 신탄진로 605	(지번) 상서동 834-7	1.0	36.4327373	127.4231419
105	맥도날드 대전유성DT점	대전 유성구 계룡로87번길 3	(지번) 봉명동 446-5	1.4	36.3559776	127.34129850000001
