	mac_name	address	address2	score	link
47	스타벅스 양주송추DT점	경기 양주시 장흥면 호국로 528	(지번) 장흥면 교현리 산 112-2	2.5	https://place.map.kakao.com/1755565714#review
48	스타벅스 마천DT점	서울 송파구 마천동 43-1		5.0	https://place.map.kakao.com/1853254401#review
49	스타벅스 북수원IC DT점	경기 수원시 장안구 경수대로 1038	(지번) 파장동 469-4	2.5	https://place.map.kakao.com/1347338449#review
50	스타벅스 수지성복DT점	경기 용인시 수지구 성복2로 55 1,2층	(지번) 성복동 76-2	3.8	https://place.map.kakao.com/27075907#review
51	스타벅스 의정부신곡DT점	경기 의정부시 회룡로 269	(지번) 신곡동 263-7	3.0	https://place.map.kakao.com/939788387#review
52	스타벅스 의정부용현DT점	경기 의정부시 시민로 468	(지번) 용현동 189-4	4.0	https://place.map.kakao.com/1119245395#review
53	스타벅스 수원연무DT점	경기 수원시 장안구 창룡대로 171	(지번) 연무동 247-16	3.0	https://place.map.kakao.com/1860071573#review
54	스타벅스 인천용현DT점	인천 미추홀구 아암대로 107	(지번) 용현동 630-9	3.7	https://place.map.kakao.com/27432241#review
55	스타벅스 경기광주신현DT점	경기 광주시 오포읍 태재로 37	(지번) 오포읍 신현리 701-5	2.0	https://place.map.kakao.com/938835083#review
56	스타벅스 인천동춘DT점	인천 연수구 앵고개로 171	(지번) 동춘동 224-5	2.3	https://place.map.kakao.com/1017180921#review
57	스타벅스 동수원DT점	경기 수원시 팔달구 중부대로 161	(지번) 우만동 153-20	3.7	https://place.map.kakao.com/27075991#review
58	스타벅스 의정부예술의전당DT점	경기 의정부시 경의로 31	(지번) 의정부동 543-6	4.5	https://place.map.kakao.com/138660504#review
59	스타벅스 풍무사거리DT점 주차장	경기 김포시 풍무동 58-3		0.0	https://place.map.kakao.com/1866744453#review
60	스타벅스 의정부녹양DT점	경기 의정부시 비우로 119	(지번) 가능동 93-1	3.9	https://place.map.kakao.com/27311408#review
61	스타벅스 수원권선DT점	경기 수원시 권선구 매송고색로 543	(지번) 오목천동 321-20	3.7	https://place.map.kakao.com/663519557#review
62	스타벅스 용인마북DT	경기 용인시 기흥구 용구대로 2330	(지번) 마북동 502-152	4.1	https://place.map.kakao.com/27094955#review
63	스타벅스 목감DT점(2020년10월예정)	경기 시흥시 조남동 651		0.0	https://place.map.kakao.com/1319484378#review
64	스타벅스 수원KBS DT점	경기 수원시 팔달구 권광로 265	(지번) 인계동 363-5	5.0	https://place.map.kakao.com/1750771671#review
65	스타벅스 인천송도DT점	인천 연수구 하모니로 136	(지번) 송도동 8-17	3.1	https://place.map.kakao.com/1762214966#review
66	스타벅스 평내DT	경기 남양주시 경춘로 1269	(지번) 평내동 246-2	2.9	https://place.map.kakao.com/26925119#review
67	스타벅스 수원IC DT점	경기 용인시 기흥구 중부대로 56	(지번) 영덕동 522-2	3.2	https://place.map.kakao.com/23066708#review
68	스타벅스 수원경수인계DT점	경기 수원시 팔달구 경수대로 499	(지번) 인계동 963-11	4.4	https://place.map.kakao.com/672798623#review
69	스타벅스 용인보정DT	경기 용인시 기흥구 용구대로2469번길 167	(지번) 보정동 340	5.0	https://place.map.kakao.com/1634820217#review
70	스타벅스 수원세류DT점	경기 수원시 권선구 권선로544번길 1 1~3층	(지번) 세류동 325-1	5.0	https://place.map.kakao.com/934570533#review
71	스타벅스 수원망포DT점	경기 수원시 영통구 덕영대로 1467	(지번) 망포동 38-23	4.0	https://place.map.kakao.com/27330903#review
72	스타벅스 남양주진접DT점	경기 남양주시 진접읍 금강로 1477	(지번) 진접읍 장현리 230-6	3.2	https://place.map.kakao.com/1944811832#review
73	스타벅스 수원인계DT점	경기 수원시 팔달구 인계로94번길 3 1, 2층	(지번) 인계동 1019	0.0	https://place.map.kakao.com/1222115778#review
74	스타벅스 용인보라DT점	경기 용인시 기흥구 용구대로 1877	(지번) 보라동 376-6	3.6	https://place.map.kakao.com/228365075#review
75	스타벅스 남양주연평DT점	경기 남양주시 진접읍 해밀예당1로 27	(지번) 진접읍 연평리 59-3	4.0	https://place.map.kakao.com/811106931#review
76	스타벅스 용인동백DT점	경기 용인시 기흥구 어정로 102	(지번) 상하동 461-2	3.9	https://place.map.kakao.com/1484170141#review
77	스타벅스 신영통DT	경기 화성시 영통로 43	(지번) 반월동 163-3	4.2	https://place.map.kakao.com/27332484#review
78	스타벅스 화성병점DT점	경기 화성시 효행로 1015	(지번) 진안동 873-4	3.1	https://place.map.kakao.com/568704719#review
79	스타벅스 양주광사DT점	경기 양주시 부흥로 1872	(지번) 광사동 342-7	4.3	https://place.map.kakao.com/653981072#review
80	스타벅스 경기광주송정DT점	경기 광주시 경안천로 118	(지번) 송정동 12-12	4.3	https://place.map.kakao.com/1335700513#review
81	스타벅스 경기광주쌍령DT	경기 광주시 경충대로 1445	(지번) 쌍령동 168	5.0	https://place.map.kakao.com/588366164#review
82	스타벅스 동탄능동DT점	경기 화성시 동탄지성로 203	(지번) 능동 471-7	5.0	https://place.map.kakao.com/1848298366#review
83	스타벅스 용인상하DT점	경기 용인시 기흥구 중부대로 771	(지번) 상하동 246-1	4.0	https://place.map.kakao.com/711936960#review
84	스타벅스 용인시청DT	경기 용인시 처인구 중부대로 1130	(지번) 삼가동 197-7	3.7	https://place.map.kakao.com/935742945#review
85	스타벅스 북오산IC DT점	경기 오산시 문시로 109-2	(지번) 외삼미동 327-29	4.3	https://place.map.kakao.com/1967488397#review
86	스타벅스 양주덕정역DT점	경기 양주시 독바위로 35	(지번) 덕정동 223-8	4.3	https://place.map.kakao.com/1276632356#review
87	스타벅스 오산ICDT점	경기 오산시 원동로 74	(지번) 원동 119-137	3.4	https://place.map.kakao.com/26785162#review
88	스타벅스 용인김량장DT점	경기 용인시 처인구 백옥대로 1174	(지번) 김량장동 177-1	4.4	https://place.map.kakao.com/309052056#review
89	스타벅스 양주고읍DT점	경기 양주시 고덕로 351	(지번) 고읍동 109	5.0	https://place.map.kakao.com/1634729029#review
90	스타벅스 포천DT점	경기 포천시 호국로 925	(지번) 선단동 557	3.6	https://place.map.kakao.com/1416641044#review
91	스타벅스 동두천DT	경기 동두천시 평화로 2254	(지번) 지행동 475-1	3.4	https://place.map.kakao.com/598016935#review
92	스타벅스 이천사음DT점	경기 이천시 경충대로 3045	(지번) 사음동 572-1	4.3	https://place.map.kakao.com/1748741751#review
93	스타벅스 인천강화DT점	인천 강화군 강화읍 강화대로 343	(지번) 강화읍 갑곳리 203-10	5.0	https://place.map.kakao.com/2134059941#review
