	mac_name	address	address2	score	link	num_review	reviews	scores	dates
0	스타벅스 영등포신길DT점	서울 영등포구 신길로 137 1,2층	(지번) 신길동 252-9	4.3	https://place.map.kakao.com/26316695#review	13	['직원분들이 넘 친절하셔서 저도모르게 웃음이나네요~~^^ 11월10일 오후1시쯤 포스담당하셨던 남자직원분 미소에 하루가 기분좋아집니다~~^^', '오픈때부터 꾸준히 방문하는데 항상 친절해서 좋아요', '진짜 직원분들 다 친절하세요 갈때마다 놀래요 ^^  강때마다 기분 좋아지는 듯', '환기가 안되는 건지 커피 찌든 냄새가 남.. 그리고 토요일 오전 직원 분들이 사담을 큰 소리로 함 일에 집중해야 한다면 1층 큰 테이블과 유리벽 테이블 바 좌석은 피하는게 좋음', '좋아요', '대체적으로 괜찮은데 스텝들이 퍼스널 옵션들을 한번씩 빼먹어요 ㅠ 페이전 꼭 체크하시길!', '최고예요', '라떼가 다른지점보다 맛있어요.', '최고예요']	['5', '5', '5', '2', '4', '4', '5', '5', '5']	['2019.11.10.', '2019.07.03.', '2019.05.09.', '2019.04.17.', '2018.09.08.', '2018.07.07.', '2018.02.07.', '2017.09.25.', '']
1	스타벅스 신림DT점	서울 관악구 남부순환로 1419	(지번) 신림동 564-12	3.9	https://place.map.kakao.com/784815881#review	10	['밍밍하고 맛없어요. 샷이 들어가는지 안들어가는지 모를만큼 싱겁네요. ', '직원들도 친절하고 음료도 맛있어요 ', '생긴지 얼마안되고 역주변이 아니라 너무 깔끔합니다 평일오후라 그런지 사람도 많지않고 조용하니 좋아요', '신림 등지에서 제일 여유롭고 지은지 얼마 안 되어 깨끗함 ', '2층 에어컨 안틀어줘서 더워요', '주말 오후에도 자리 한두자리정도 날 만큼 여유... 그러나 종업원이 지쳐보인다ㅠ 손님이 종업원의 눈치를 보게 된다.', '스벅은 진리! 근데 이집은 친절한 미소가 부족!', '좋아요', '최고예요']	['1', '5', '4', '5', '3', '3', '4', '4', '5']	['2020.01.26.', '2019.10.05.', '2019.09.09.', '2019.04.30.', '2019.04.07.', '2018.07.08.', '2018.05.08.', '2018.02.10.', '']
2	스타벅스 낙성대DT점	서울 관악구 남부순환로 1948	(지번) 봉천동 1657-3	3.0	https://place.map.kakao.com/427369680#review	24	['테이블 배치 너무 옛날 초등학교스러움.. 빽빽', '1명이 테이블여러개 붙여쓰니 자리도 부족함. 또한 죽치고 있는사람이 너무 많음. ', '카공족이 많아요', '보통이에요', '음료나 푸드는 좋은데 매장 뷰나 인테리어가 좋음. 근데 공간이 울리는 편이라 사람 많아지면 시끄러움.', '그냥 평범함. 아니 근데 이렇게 차 막히는 곳에 드라이브스루라니.차막히는 출퇴근때 여기때문에 한차선은 아예 사용못함. 허가내준 구청직원뭡니까', '낙성대핫플레이스', '근처 드라이브스루 없는데 그로 인해 교통량 몰리면 직원들 엄청 바쁠 것 같지만 원활히 질 돌아가는 것 같고, 불편한 점은 위층에 자리가 있는지 없는지 1층에서 볼 수 있는 모니터 같은게.있으면 좋을 것 같음. 그외에는 공부하는 사람, 수다 떠는 사람 많은 건 어쩔 수 없다 생각함. 낙성대 핫플레이스임.', '여기 스벅은 조금 좁고 ㅠㅠ 한쪽은 공부족 한쪽은 수다족(엄청시끄럽)ㅠㅠ ', '스벅은 본사에서 직접 알바생은 뽑아서 관리하는데 여기는 알바생이 레알 싸가지없음 바로 티가남', '혼자서 4명 자리 차지하는 사람이 많아서 불편함.  이용자수가 많은 반면 자리가 잘 안 빠짐. 스탭들 표정관리가 제일 안 되는 매장인 것 같음.  옵션을 몇개 넣어 주문하면 싫어하는 게 다 티가 남.  타 매장보다 스탭의 불필요한 사적인 대화가 많은 것 같음. ', '최악 싸가지없는 직원에 기분나빠지는곳 커스텀을 한건지도 모르게 자기맘대로 나오는곳 화장실은 물이줄줄세서 더럽고 하 그냥 별로였음', '가끔 이용하던 아저씨인데, 오늘 돌체라떼먹다가 깜짝 놀랐다. 이게 커피인가 구정물인가? 저 밑에 낙성대 커피빈에서 배워왔는가? 공카족들이야 그냥저냥 처먹겠지만 나는 당분간 못갈듯.. ', '최고예요', '청소를 너무 안하네요. 손님이 닦고 앉아야할 지경임', '이 매장은 도저히 앉아서 커피를 마실 수가 없음. 죽치고 앉아 있는 사람이 많아도 너무 많음. ', '주차가 안되는데 테이블도 작고 불편하고 항상 만석  그래서 DT만 이용  음료맛은 평타 DT는 음료가 빨리 나오는 편인데  매장주문은 겁나 느림  느림보 거북이가 친구하자고 할듯 1층에서 주문받고 음료받고 2층에만 자리잇음 제대로 불러주지 않음;;;', '드라이브스루 좋았어요~~', '드라이브스루랬지 주차된다고는 안 했다', 'Great new spot ', '최고예요']	['2', '1', '3', '3', '3', '3', '5', '5', '3', '1', '1', '1', '1', '5', '1', '1', '2', '5', '5', '5', '5']	['2020.03.28.', '2020.01.28.', '2020.01.12.', '2019.10.18.', '2019.10.11.', '2019.08.24.', '2019.08.11.', '2019.08.09.', '2019.06.23.', '2019.06.07.', '2019.05.04.', '2019.04.10.', '2019.03.11.', '2018.09.01.', '2018.08.10.', '2018.07.24.', '2018.03.23.', '2018.02.27.', '2018.01.06.', '2017.09.28.', '']
3	스타벅스 연희DT점	서울 서대문구 연희로 144	(지번) 연희동 87-8	3.7	https://place.map.kakao.com/26571462#review	19	['친절하고 사람이 많지 않아서 좋음', '친절해요, 사람이 넘많다는게 흠ㅜ', '친절한게최고에요.할리스커피는 직원이 저랑싸우기도했어요.그래서 저는인제할리스이용안해요.여기는친절해서좋았어요.이다음에도 친절한 서비스가겨속됐으면좋했내요', '아늑하고 직원분들 친절함.', '최고', '멋진 분위기에요', '친절하고 조용하고 분위기가 좋아요~', '최고예요', '보통이에요', '저는 갠적으로 만족했습니다. ', '직원 교육 좀 합시다 이곳은 오래전부터 불친절한 직원들로 원성이 자자하던곳인데 여전하군요', '와 소름 주문 받는 사람이 이건 좀 아니다 싶어서 리뷰 본건데 저랑 똑같이 느끼셨나보네요.여기 매장 좀 심각합니다닉네임 h로 시작하는 사람 특히나 개심각', '다른매장에 비해 조용하고 사람이 없어서 좋은데점심시간에 주문받는 여자 알바 표정이랑 말투가 띠껍네요지금까지 가본 다른 매장 알바들은 친절했는데 여기만 재수없어요.좀 한가하니까 자기 본분을 잊었나봄']	['4', '5', '5', '5', '5', '5', '4', '5', '3', '4', '1', '1', '2']	['2020.04.11.', '2020.03.19.', '2019.07.31.', '2019.06.07.', '2018.12.31.', '2018.10.10.', '2017.09.28.', '2017.09.27.', '', '', '', '', '']
4	스타벅스 화곡DT점	서울 강서구 등촌로 57	(지번) 화곡동 772-67	4.5	https://place.map.kakao.com/470408699#review	16	['스타벅스의 아메리카노 맛이아니네요,  맛이 너무 연해요, 맛이연하다보니 향도 안찐하고, 이럴거면 스타벅스 커피먹을이유가 없네요..  앞으론 다른지점 이용해야겠어요..(드라이브스루 이용한 따뜻한 아메리카노 주문했습니다.)', '3층이라 쾌적하고 분위기도 좋아요! 드라이브스루 손님도 많던데 직원분들이 손도 빠르시고 친절하셨어요ㅎㅎ', '스타벅스 중 여기 커피가 젤 맛있는 듯!!', '가까워서 자주 가는데 굿입니다. 분위기도 좋고..', '좋아요', '최고예요', '3층 건물에 쾌적한 건물 좋네요.  스벅중에 쾌적함은 순위권', '최고예요', '최고예요', '건물 내부 환기를 고려한 계단구조로 전체가 통하는 구조랄까, 이런 집에서 혼자 살면 허전하겠네. ', '최고예요', '넓은매장과 조용한 분위기', '보통이에요']	['1', '4', '5', '5', '4', '5', '5', '5', '5', '5', '5', '5', '3']	['2020.04.30.', '2020.04.15.', '2020.03.15.', '2020.01.28.', '2020.01.16.', '2019.08.15.', '2019.08.11.', '2018.12.08.', '2018.11.03.', '2018.01.03.', '2017.09.28.', '2017.09.27.', '2017.05.04.']
5	스타벅스 신정DT점	서울 양천구 신월로 341	(지번) 신정동 981-15	3.2	https://place.map.kakao.com/1737262840#review	10	['사람 너무 많고, 이상하게 야리는 사람도 있슴.', '집 근처라 늦 저녁이나 주말 오전에 종종 가는데 양천구 내 타 매장들 대비 크루들의 업무처리가 안 좋은 편입니다. 불친절함은 차지하더라도 청결도도 떨어지고 원두도 잘못 갈아주는 등 불편함을 자주 느낍니다. 어쩔 수 없이 좀 멀더라도 목동 타 지점들이나 현백으로 가거나 매장 체류 필요 시 차 가지고 타 DT점을 갑니다. 근처고 주차도 편리하나 개선될 기미가 ...', '담배냄새가2층홀내에 쩔어있고 직원 불친절 담배냄새 역겨움. 매장건물이 아깝네요', '커피맛이 ㅠㅠ 목동점이나 오목교점에 비해 떨어져요 .. 같은 커피 맞나요 ..???', 'DT 이용 자주해요 주차장도 있어서 차가지고 가기 좋아요', '파트너들도 친절하고 커피도 맛있고 bb', 'dt가 되어서 기분전환할때 좋다', '좋아요']	['1', '1', '1', '2', '5', '4', '4', '4']	['2020.06.16.', '2020.06.09.', '2020.06.09.', '2020.01.28.', '2020.01.24.', '2018.10.12.', '2018.07.23.', '']
6	스타벅스 신월ICDT점	서울 양천구 남부순환로 430	(지번) 신월동 205-48	4.2	https://place.map.kakao.com/26900383#review	24	['3층 규모로 갔으면 좋았을뻔. 사람없을 만한 시간대에 갔는데 너무 많아서 깜놀.', '굳', '최고예요', '- 주차 자주식 3대 끝. 주변에 차 세웠다간 경찰온다는 현수막이 많음. 스벅 주차땜에 인근 주민들 엄청 시달린듯. - 복층식 매장은 보통 1층이 춥고 2층이 더운데, 여기는 2층이 추움. 건물을 날려지은게 확 티나는지 외풍 장난아님. 스벅와서 감기걸린적 처음.. - 쇼파밑 콘센트 보유. 비교적 한산한 매장(주차가 안되다보니 그런듯). 그래서인지 매출에 욕...', '차타고 이용했는데 편했어요, 시간 잘못 맞추면 좀 기다려야 하는데.. 편하긴하네요~', '커피점으로서 만족스러운 곳. 하지만 사람이 너무 많다.', '탁 트인 넓은 장소가 마음에 들지만, 환경보호로 플라스틱 사용을 자제하는 요즘 시점에 머그컵으로 받길 선택했는데도 머그잔이 다 나가서 머그잔을 못 준다는 황당한 말을 들었음. 매장의 1/4도 안 찬 시점에, 따뜻한 음료, 아이스 음료 혼재되어 있는데 머그컵이 다 나갔다? 글쎄... 평상시 매장이 꽉꽉 차는 걸 아는 사람으로서, 설거지 하기 귀찮거나, 컵 수...', '넓어서요', '최고예요', '최고입니다   장소. 커피.교통 .최고의써비스', '친절하고  커피가  맛있다', '최고예요']	['1', '5', '5', '3', '4', '5', '2', '3', '5', '5', '5', '5']	['2020.06.16.', '2020.04.30.', '2020.01.08.', '2020.01.03.', '2019.07.18.', '2019.07.07.', '2018.06.24.', '2018.05.01.', '2017.12.14.', '2017.10.01.', '2017.09.29.', '']
7	스타벅스 안양석수DT점	경기 안양시 만안구 경수대로 1399	(지번) 석수동 385-9	4.3	https://place.map.kakao.com/26849460#review	12	['한결같은 분위기, 위생, 친절... 편안함.. 맛은 평타.', '1층 . 2층  2층은 너무 사람많고 1층이 여유있고 좋아요. 주차장이 마음에 듭니다', '늘 한결같은 분위기', '단독건물에 깔끔 주차장 최고 분위기 좋음']	['4', '4', '5', '5']	['2019.08.11.', '2017.12.22.', '2017.10.01.', '2017.09.27.']
8	스타벅스 과천DT점	경기 과천시 중앙로 277	(지번) 중앙동 79	4.3	https://place.map.kakao.com/1319610997#review	12	['맨날 주차자리 없음 카페 자체는 갤러리같은 것도 있고 괜찮음', '단골입니다. 언젠가 사약 아메리카노를 접하고 나서는 한동안 안가다가 누군가에 의해 컴플레인이 매장에 들어갔는지 요근래 커피맛이 개선되었고 맛있게 커피를 즐길 수 있게 되었습니다. ', '굿굿굿', '젤 좋아요 ! 차 있는 사람들은 주차공간이 소중하니깐 주차 할수 있은게 어디에요~ ', '주차: 피크때 가면 못주차함. 그러나 오픈때 가면 지주식 12대정도 주차 가능 쾌적도:자꾸 차빼라고 방송하고, 개념없는 줌마들 자제분들의 돌고래소리 가끔 들음. 스벅 앱으로 민원 넣으면 점장인지 와서 내보냄. - 대탁자 외에는 콘센트가 없음. 즉, 쇼파자리 콘센트 없음. 쇼파자리서 놋북 못킴. - 건물 1,2층 사용하는걸 보여주기 위한 매장. 실제로 자리 ...', '스벅맛이야 뭐 기대할 정도는 아니고 장소얘기를 해보면 괜찮음  주차도 하기편하게되어있고  직원분들도 대응이 신속하고 친절하려 노력하심 일이층 다 무난하게되어있음 떠들기도 좋고 사람 적으면 노트북 들고가서 앉아있기듀 괜찮을듯합니다', '최고예요', '좋네요 ', '주차공간두 넓구 머 흠잡을데없이 맘편하고 좋은 동네 카페.', '주차공간도 있고 언제나 친절한 파트너분들 덕분에 방문이 즐겁습니다.', '최고에요']	['4', '5', '3', '5', '2', '4', '5', '5', '5', '5', '4']	['2020.04.09.', '2020.03.15.', '2020.03.14.', '2020.01.26.', '2020.01.02.', '2019.10.13.', '2019.10.08.', '2019.09.18.', '2019.08.04.', '2019.05.06.', '2018.12.24.']
9	스타벅스 광명소하DT점	경기 광명시 오리로 363	(지번) 소하동 1077	3.8	https://place.map.kakao.com/688125358#review	6	['보통이에요', '아무것도 주문 안하고 2층으로 들어와서 죽치고 소란스럽게 떠드는 노인들만 없었으면. 가뜩이나 자리 없는데 최소한 상도가 있어야지.', '주차장 항상 만석인거 빼면 좋아요!', '주말에방문했는데. 조용해서좋았어요', '근접성 ']	['3', '4', '5', '5', '4']	['2019.11.08.', '2019.08.18.', '2019.08.07.', '2019.04.15.', '2017.09.25.']
