	mac_name	star_name	distance
84	맥도날드 부산명지DT점	스타벅스 명지강변DT	0.7253493094805109
85	맥도날드 부산범전DT점	스타벅스 수영망미DT	4.50320529409397
86	맥도날드 부산사직DT	스타벅스 동래미남DT	0.8324517086347494
87	맥도날드 부산송정DT점	스타벅스 해운대달맞이DT	3.695217945897371
88	맥도날드 부산엄궁DT점	스타벅스 을숙도강변DT	1.6699914639639022
89	맥도날드 부산영도DT점	스타벅스 동명대DT	5.462100683723662
90	맥도날드 부산온천SK DT점	스타벅스 부산안락DT	0.9992543333533423
91	맥도날드 부산정관DT점	스타벅스 양산덕계DT	4.952109560640734
92	맥도날드 부산초량DT점	스타벅스 동서대DT	4.699598939978973
93	맥도날드 부산하단DT점	스타벅스 을숙도강변DT	1.6210904305795617
94	맥도날드 부산황령DT점	스타벅스 동명대DT	2.416272109570655
95	맥도날드 부천심곡DT점	스타벅스 부천심곡DT	1.3450732708129571
96	맥도날드 부천역곡역DT점	스타벅스 부천심곡DT	1.0334191907369001
97	맥도날드 부천원종DT점	스타벅스 신월IC	2.6779767950636546
98	맥도날드 부평SK DT점	스타벅스 인천갈산DT	2.2451820158045175
99	맥도날드 북수원DT점	스타벅스 북수원IC	0.48728272609724665
100	맥도날드 사천DT점	스타벅스 진주칠암DT	10.50431295742173
101	맥도날드 상계DT점	스타벅스 의정부회룡역DT	5.603807277190168
102	맥도날드 서산DT점	스타벅스 서산예천DT	0.14727522703925097
103	맥도날드 서울둔촌DT점	스타벅스 강동구청DT	1.1971198465371133
104	맥도날드 서울번동DT점	스타벅스 공릉DT	2.566525565799761
105	맥도날드 서울시흥DT점	스타벅스 안양석수DT	2.172996568167685
106	맥도날드 서초GS점	스타벅스 낙성대DT	4.129566802664813
107	맥도날드 서판교DT점	스타벅스 수지성복DT	8.491069366168551
108	맥도날드 성남신흥DT점	스타벅스 송파방이DT	6.628957970973341
109	맥도날드 속초DT점	스타벅스 속초DT	0.038866168270072936
110	맥도날드 송도GS DT점	스타벅스 인천송도DT	0.8103596630052623
111	맥도날드 송파잠실DT점	스타벅스 송파나루역DT	3.026062307020648
112	맥도날드 수원GS DT점	스타벅스 수원인계DT	1.003708440286834
113	맥도날드 수원망포DT	스타벅스 수원망포DT	1.192771647921112
114	맥도날드 수원세류DT점	스타벅스 수원세류DT	1.6968396607192382
115	맥도날드 수원인계DT점	스타벅스 수원KBS	0.04597163195108901
116	맥도날드 수원정자DT점	스타벅스 북수원IC	1.9628529237862002
117	맥도날드 수원화성DT점	스타벅스 수원연무DT	0.7270217622906318
118	맥도날드 순천덕암DT점	스타벅스 전남광양DT	17.113084724166047
119	맥도날드 순천조례DT점	스타벅스 전남광양DT	15.538536462394791
120	맥도날드 신월DT	스타벅스 신월IC	0.24482596928337946
121	맥도날드 신월남부DT점	스타벅스 신월IC	1.2403456844345073
122	맥도날드 신흥DT점	스타벅스 인천용현DT	0.5381761090982055
123	맥도날드 쌍문DT점	스타벅스 공릉DT	4.905759345463018
124	맥도날드 안산고잔DT점	스타벅스 안양호계DT	12.710736276216753
125	맥도날드 안양비산DT점	스타벅스 안양비산DT	0.16131669579590868
126	맥도날드 양산DT점	스타벅스 남양산IC	0.9380928789492429
127	맥도날드 양산덕계DT점	스타벅스 양산덕계DT	0.527900253268688
128	맥도날드 양산북정DT점	스타벅스 남양산IC	3.521071841372484
129	맥도날드 양재SK DT점	스타벅스 과천DT	5.924345312468194
130	맥도날드 양주덕계DT점	스타벅스 양주덕정역DT	1.8556222269229345
131	맥도날드 양주휴게소DT점	스타벅스 양주송추DT	2.8221786699250297
132	맥도날드 양천구청DT점	스타벅스 신정DT	0.8110343318422163
133	맥도날드 양평SK점	스타벅스 화곡DT	2.702152058839784
134	맥도날드 여수학동DT	스타벅스 여수학동DT	0.2758661677480075
135	맥도날드 연희DT	스타벅스 인천서구청DT	0.12891891634941502
136	맥도날드 염창DT점	스타벅스 화곡DT	2.0609380746572525
137	맥도날드 오산DT점	스타벅스 오산IC	0.4079924735604893
138	맥도날드 오산세교DT점	스타벅스 오산IC	2.1795921054365732
139	맥도날드 옥포SK DT점	스타벅스 거제대로DT	5.0931654714717105
140	맥도날드 용봉DT	스타벅스 광주신안DT	1.5683721857094832
141	맥도날드 용인동백DT점	스타벅스 용인동백DT	0.12391919491413206
142	맥도날드 용인마북DT점	스타벅스 용인마북DT	0.8905569098135676
143	맥도날드 용인수지DT점	스타벅스 수지성복DT	2.7207523093522985
144	맥도날드 용인시청DT점	스타벅스 용인시청DT	0.3437805485319024
145	맥도날드 용인신갈DT점	스타벅스 수원KBS	0.9007580395546434
146	맥도날드 우장산DT점	스타벅스 신월IC	1.7801462816541953
147	맥도날드 울산굴화DT점	스타벅스 울산시청사거리DT	5.087850017239229
148	맥도날드 울산삼산DT	스타벅스 울산중리사거리DT	0.13949811896189335
149	맥도날드 울산삼산로DT점	스타벅스 울산도산사거리DT	0.7293746696810484
150	맥도날드 울산옥동	스타벅스 울산시청사거리DT	1.151377745163138
151	맥도날드 울산일산DT점	스타벅스 울산중리사거리DT	8.509772269292734
152	맥도날드 울산호계SK점	스타벅스 울산북구청DT	5.931660365908752
153	맥도날드 웅상DT	스타벅스 양산덕계DT	3.9058748843300415
154	맥도날드 원주단계DT점	스타벅스 원주명륜DT	2.09840769012944
155	맥도날드 원주단구DT점	스타벅스 원주명륜DT	1.044800599396089
156	맥도날드 의왕오전DT점	스타벅스 안양호계DT	1.486592223672749
157	맥도날드 의정부금오DT점	스타벅스 의정부녹양DT	1.2400553823342149
158	맥도날드 의정부녹양DT점	스타벅스 의정부녹양DT	0.24833404974938975
159	맥도날드 이천DT점	스타벅스 이천증포DT	2.560864488991253
160	맥도날드 익산영등DT점	스타벅스 익산영등DT	0.39806427932595684
161	맥도날드 인천계산DT점	스타벅스 경인교대입구역DT	1.419502552871009
162	맥도날드 인천구산DT점	스타벅스 부천중동DT	1.7406899273985847
163	맥도날드 인천삼산DT점	스타벅스 인천갈산DT	0.10791540538190875
164	맥도날드 인천옥련DT점	스타벅스 인천동춘DT	1.6686315088989132
165	맥도날드 전남대DT점	스타벅스 광주신안DT	2.2430347613511814
166	맥도날드 전북정읍DT점	스타벅스 전북정읍DT	0.3826257882638354
167	맥도날드 전주덕진DT점	스타벅스 전주덕진광장DT	0.14783342165166044
168	맥도날드 전주송천DT	스타벅스 전주송천DT	0.27292107228241874
169	맥도날드 전주인후DT점	스타벅스 전북대병원DT	0.7622003362530753
170	맥도날드 전주평화DT점	스타벅스 전주평화DT	0.6202953341382844
171	맥도날드 전주효자DT점	스타벅스 전주효자DT	0.07391518490667208
172	맥도날드 제주공항DT점	스타벅스 제주용담DT	2.052076698815941
173	맥도날드 제주서귀포DT점	스타벅스 서귀포DT	5.2350962935074685
174	맥도날드 제주시청DT점	스타벅스 제주도남DT	1.630014466565148
175	맥도날드 제주월드컵스타디움DT점	스타벅스 제주중문DT	1.8481090529355266
176	맥도날드 제주일도DT	스타벅스 제주도남DT	3.2007037951522106
177	맥도날드 제천DT점	스타벅스 제천DT	0.19923809611393092
178	맥도날드 중동DT점	스타벅스 부천중동DT	1.0927205370979132
179	맥도날드 중산DT점	스타벅스 일산애니골DT	1.566296019607741
180	맥도날드 진접DT점	스타벅스 남양주진접DT	0.7892045019606954
181	맥도날드 진주가좌DT점	스타벅스 진주칠암DT	1.9826834214626892
182	맥도날드 진주칠암DT점	스타벅스 진주칠암DT	0.07547230691995731
183	맥도날드 진해자은DT	스타벅스 진해자은DT	3.8762698903629933
184	맥도날드 창원내서DT	스타벅스 창원호계DT	1.8229015477262545
185	맥도날드 창원사파DT점	스타벅스 진해자은DT	8.697222699407197
186	맥도날드 창원역DT점	스타벅스 창원역DT	0.1837349927334246
187	맥도날드 천안두정DT점	스타벅스 천안성정DT	1.0294427941097468
188	맥도날드 천안쌍용역DT점	스타벅스 천안서부대로DT	1.1127967201435458
189	맥도날드 천안원성DT점	스타벅스 천안IC	1.0728693440228125
190	맥도날드 청담DT점	스타벅스 구의DT	4.796645508309917
191	맥도날드 청주금천DT	스타벅스 청주용담DT	0.764938113740247
192	맥도날드 청주분평DT점	스타벅스 청주용암DT	1.9177099243085962
193	맥도날드 청주비하DT점	스타벅스 청주봉명DT	3.8898383896982924
194	맥도날드 청주율량GS DT점	스타벅스 청주율량DT	0.9423739261668301
195	맥도날드 초읍DT점	스타벅스 동래미남DT	3.5332393378093423
196	맥도날드 춘천퇴계DT점	스타벅스 춘천석사DT	0.7749468560328538
197	맥도날드 춘천후평DT점	스타벅스 춘천후평DT	0.19570019741191888
198	맥도날드 충남논산DT점	스타벅스 계룡대로DT	17.701549638398674
199	맥도날드 충남당진DT	스타벅스 당진시곡DT	1.1597831151912033
200	맥도날드 충남보령DT점	스타벅스 충남보령DT	0.8359981456916095
201	맥도날드 충남아산DT점	스타벅스 아산방축DT	1.0185998563073055
202	맥도날드 충남홍성DT점	스타벅스 서산예천DT	27.100140196508338
203	맥도날드 충주교현DT점	스타벅스 충주시청DT	1.1858468080265494
204	맥도날드 통영죽림DT점	스타벅스 거제대로DT	20.255722992292398
205	맥도날드 평내DT점	스타벅스 평내DT	0.039391737244918464
206	맥도날드 평택GS	스타벅스 안성공도DT	5.180304858565165
207	맥도날드 평택서정DT점	스타벅스 평택서정DT	0.41173416379426786
208	맥도날드 포천DT점	스타벅스 포천DT	0.30781930321943374
209	맥도날드 포항남부DT점	스타벅스 포항죽도DT	0.01740973959709255
210	맥도날드 포항북부DT점	스타벅스 포항장성DT	2.112935221539835
211	맥도날드 포항장성DT점	스타벅스 포항장성DT	0.0677760589444785
212	맥도날드 하남시청DT점	스타벅스 하남미사DT	3.336014512293031
213	맥도날드 해운대DT점	스타벅스 해운대달맞이DT	1.1439398799918374
214	맥도날드 화성봉담DT점	스타벅스 수원권선DT	2.6692418434125815
215	맥도날드 화성향남DT점	스타벅스 오산갈곶DT	13.820363827962197
